Tanggal,Jenis Produk,Jumlah Order,Harga,Total
05/08/22,Foodpak 260,1000.00,"Rp1.800,00","Rp1.800.000,00"
05/08/22,Foodpak Matte 245,1000.00,"Rp1.900,00","Rp1.900.000,00"
05/08/22,Craft Laminasi 290,5000.00,"Rp750,00","Rp3.750.000,00"
05/08/22,Craft Laminasi 290,,,
07/08/22,Dupleks 310,1000.00,"Rp1.550,00","Rp1.550.000,00"
08/08/22,Dupleks 310,500,"Rp1.900,00","Rp950.000,00"
08/08/22,Ivory 270 ,1000.00,"Rp1.700,00","Rp1.700.000,00"
09/08/22,Kinstruk 130,1000.00,"Rp1.000,00","Rp1.000.000,00"
09/08/22,HVS,1500.00,"Rp850,00","Rp1.275.000,00"
09/08/22,Dupleks 350,500,"Rp1.800,00","Rp900.000,00"
09/08/22,Dupleks  350,,,
10/08/22,Dupleks 310,500,"Rp1.600,00","Rp800.000,00"
10/08/22,Ivory 270,1000.00,"Rp2.000,00","Rp2.000.000,00"
11/08/22,Craft Laminasi 290,1000.00,"Rp850,00","Rp850.000,00"
11/08/22,Dupleks 350,500,"Rp1.800,00","Rp900.000,00"
11/08/22,Dupleks 350,500,"Rp1.800,00","Rp900.000,00"
11/08/22,Dupleks 310,2000.00,"Rp1.300,00","Rp2.600.000,00"
12/08/22,Craft Laminasi ,1000.00,"Rp1.200,00","Rp1.200.000,00"
12/08/22,Ivory 270,1000.00,"Rp2.000,00","Rp2.000.000,00"
12/08/22,Dupleks 350,1000.00,"Rp2.200,00","Rp2.200.000,00"
12/08/22,Craft Laminasi 290,3000.00,"Rp800,00","Rp2.400.000,00"
12/08/22,Craft Laminasi 290 ,500,"Rp600,00","Rp300.000,00"
13/08/22,GRESS PROFF,1500.00,"Rp300,00","Rp450.000,00"
15/08/22,Ivory 230 + Laminasi Doff,1500.00,"Rp1.100,00","Rp1.650.000,00"
15/08/22, 260 Glossy,2000.00,"Rp2.300,00","Rp4.600.000,00"
15/08/22,Craft Foodpak 290,1000.00,"Rp2.200,00","Rp2.200.000,00"
15/08/22,Ivory 230,3000.00,"Rp950,00","Rp2.850.000,00"
15/08/22,Craft Foodpak 290 ,3000.00,"Rp875,00","Rp2.625.000,00"
15/08/22,Dupleks 310,2000.00,"Rp1.600,00","Rp3.200.000,00"
15/08/22,Foodpak 260 Matte,1000.00,"Rp2.200,00","Rp2.200.000,00"
15/08/22,Dupleks 270 ,1000.00,"Rp1.900,00","Rp1.900.000,00"
